R56, CT.QDD0520, CT.QFD0530, CT.QFH0610, CT.QFH0620, CT.QFH0640, CT.QDI0650, CT.QFF0660, CT.QFH0680, CT.QFF0690, CT.QDF0720, CT.QFJ0730, CT.QDJ0740, CT.QFG0750
-0.300, 15.823, 14.301, 11.421, 14.716, 12.328, 10.981, 57.834, 8.043, 33.445, 20.467, 41.891, 65.486, 21.715
-0.295, 15.779, 14.407, 11.821, 14.117, 12.701, 11.165, 57.415, 8.396, 32.953, 16.911, 42.132, 65.779, 20.681
-0.290, 15.346, 13.936, 11.463, 15.428, 11.959, 10.597, 57.396, 7.685, 33.938, 23.204, 41.263, 65.638, 22.978
-0.285, 15.116, 13.977, 12.175, 14.050, 12.754, 10.881, 56.987, 8.739, 32.355, 20.455, 42.866, 64.093, 19.916
-0.280, 15.549, 14.191, 11.751, 14.646, 12.340, 10.934, 57.952, 8.866, 32.316, 23.601, 42.327, 63.961, 21.005
-0.275, 16.022, 14.363, 11.631, 15.620, 11.971, 10.630, 56.817, 7.463, 34.544, 19.280, 41.260, 66.448, 22.536
-0.270, 14.782, 13.629, 12.275, 14.948, 12.517, 10.372, 56.096, 8.191, 33.255, 22.263, 42.689, 64.206, 20.645
-0.265, 16.155, 14.210, 11.746, 16.422, 11.728, 9.840, 55.816, 6.369, 36.095, 21.146, 41.732, 65.943, 22.279
-0.260, 15.205, 14.134, 12.457, 14.323, 12.684, 10.944, 56.332, 9.073, 32.112, 17.427, 42.255, 65.250, 20.335
-0.255, 15.559, 14.367, 11.914, 14.669, 11.842, 11.246, 58.681, 10.061, 30.729, 23.056, 41.062, 64.818, 22.759
-0.250, 16.336, 14.582, 11.963, 15.602, 11.782, 10.531, 57.131, 8.124, 33.958, 22.986, 42.163, 64.729, 21.663
-0.245, 15.441, 14.332, 12.151, 15.043, 11.758, 10.946, 58.020, 9.620, 31.524, 24.214, 41.199, 65.027, 22.919
-0.240, 15.397, 14.141, 12.534, 15.310, 12.234, 10.547, 55.854, 8.436, 33.378, 18.984, 41.899, 65.646, 21.430
-0.235, 15.417, 14.352, 12.135, 15.268, 11.355, 10.916, 58.655, 10.059, 30.916, 27.555, 40.734, 64.602, 23.726
-0.230, 15.526, 14.382, 12.057, 15.686, 11.292, 10.863, 58.492, 9.854, 31.276, 27.404, 40.224, 64.752, 23.835
-0.225, 14.968, 13.704, 12.831, 14.867, 12.238, 10.742, 56.129, 9.454, 31.960, 19.190, 41.628, 64.006, 21.060
-0.220, 14.142, 12.222, 12.714, 16.377, 12.096, 6.819, 52.270, 8.270, 33.471, 25.774, 44.260, 59.741, 17.240
-0.215, 15.246, 14.141, 12.955, 15.415, 12.051, 10.496, 55.652, 8.939, 32.881, 19.669, 41.674, 65.601, 21.808
-0.210, 16.247, 14.493, 12.643, 15.220, 11.799, 11.046, 56.937, 9.510, 32.360, 17.771, 41.087, 64.671, 21.617
-0.205, 15.626, 14.242, 13.028, 15.728, 11.854, 10.104, 55.611, 8.689, 33.458, 23.275, 42.569, 64.039, 20.966
-0.200, 15.797, 14.598, 13.081, 15.222, 11.996, 10.754, 55.908, 9.481, 32.354, 17.810, 41.604, 65.913, 21.571
-0.195, 16.160, 14.435, 13.111, 16.842, 11.172, 9.467, 54.905, 7.238, 35.644, 22.501, 41.538, 65.633, 22.614
